matchId,homeOrAway,opponents,date,location,homeScore,awayScore
31283300,away,Huddinge Monstock 1,Sun 25.Sep 14:15,Stuvstahallen,83,80
31283303,home,Idrottsklubben Hephata,Sun 2.Oct 14:00,Konradsbergshallen,75,52
31283308,away,Central Basket x KTH,Sun 16.Oct 17:45,Gärdeshallen,92,61
31283310,home,Duga,Sun 23.Oct 17:15,Konradsbergshallen,44,54
31283317,away,Lidingö ungdom,Sun 13.Nov 16:15,Källängens skola,31,74
31283320,home,Tyresö Basketbollklubb,Sun 20.Nov 17:15,Konradsbergshallen,72,60
31283325,away,Västerled,Sun 27.Nov 18:00,Åkeshovshallen 2,61,68
31283328,home,Odysseas BC,Sun 11.Dec 16:45,Konradsbergshallen,61,69
31283336,home,Västerled,Sun 15.Jan 17:15,Konradsbergshallen,49,58
31283340,away,Odysseas BC,Sun 22.Jan 17:30,Gärdeshallen,65,46
31283344,home,Lidingö ungdom,Sun 5.Feb 17:15,Konradsbergshallen,58,76
31283347,away,Duga,Sat 11.Feb 15:45,Enskedehallen L,56,47
31283353,away,Idrottsklubben Hephata,Sun 19.Feb 19:15,Brännkyrkahallen S,58,48
31283361,home,Central Basket x KTH,Sun 19.Mar 15:30,Konradsbergshallen,59,86
31283364,away,Tyresö Basketbollklubb,Sat 25.Mar 17:00,Forellhallen,57,51
31283369,home,Huddinge Monstock 1,Sun 2.Apr 15:30,Konradsbergshallen,68,67
