matchId,homeOrAway,opponents,date,location,homeScore,awayScore
32726810,home,Skuru Basket,Sat 19.Sep 15:30,Konradsbergshallen,,
32726822,away,Tumba Basket,Sat 10.Oct 17:00,Broängens Sporthall,,
32726807,away,Odysseas BF,Sun 25.Oct 14:00,Enskedehallen L,,
32726830,home,Duga,Sun 1.Nov 16:00,Konradsbergshallen,,
32726832,away,Hybrid Basketförening,Sat 7.Nov 15:15,Vintervikens sph,,
32726843,home,Nynäshamn BBK,Sat 28.Nov 16:45,Konradsbergshallen,,
32726852,home,KFUM Huddinge Basketklubb,Sun 6.Dec 17:15,Konradsbergshallen,,
32726857,away,Tyresö Basket,Sun 13.Dec 18:15,Forellhallen,,
32726862,away,Skuru Basket,Sun 20.Dec 19:00,Nacka Sporthall,,
32726865,home,Hybrid Basketförening,Sun 10.Jan 15:30,Tellusborgshallarna 2,,
32726867,home,Odysseas BF,Sat 16.Jan 15:00,Thorildshallen,,
32726874,away,DISK,Sun 24.Jan 14:00,Enskedehallen L,,
32726878,away,IK Hephata,Sun 31.Jan 16:30,Tellusborgshallarna 2,,
32726883,away,Duga,Sat 6.Feb 15:45,Enskedehallen L,,
32726888,home,IK Hephata,Sat 13.Feb 17:15,Enskedehallen L,,
32726892,away,Nynäshamn BBK,Sat 20.Feb 15:15,Gröndalshallen Nynäshamn,,
32726896,home,Tumba Basket,Sun 7.Mar 14:00,Konradsbergshallen,,
32726903,home,DISK,Sun 14.Mar 16:15,Thorildshallen,,
32726906,away,KFUM Huddinge Basketklubb,Sun 21.Mar 14:45,Edbohallen,,
32726913,home,Tyresö Basket,Sun 11.Apr 14:15,Thorildshallen,,
