matchId,homeOrAway,opponents,date,location,homeScore,awayScore
31570780,home,Alvik Västerled,Sun 1.Oct 14:30,Thorildshallen,53,61
31570785,away,IK Hephata,Sun 8.Oct 14:00,Brännkyrkahallen S,43,60
31570794,home,Täby Bullcats,Sun 15.Oct 15:30,Konradsbergshallen,61,56
31570795,away,Odysseas Basket,Sat 21.Oct 13:30,Gärdeshallen,45,50
31603975,away,KKFS Basket,Sat 18.Nov 17:15,Enskedehallen L,46,72
31570810,away,Tyresö Basket,Sat 2.Dec 15:30,Forellhallen,63,77
31570816,away,Norrtälje,Sun 10.Dec 16:30,Rodenskolan,54,70
31608122,home,Huddinge MGL,Sat 16.Dec 13:30,Thorildshallen,95,57
31570830,home,Nynäshamn,Sat 27.Jan 17:00,Konradsbergshallen,101,33
31570834,away,Viby Herr 4,Sun 4.Feb 17:15,Sollentuna Sporthall B,93,56
31570838,home,Duga Basket,Sun 11.Feb 17:15,Enskedehallen L,44,37
31570842,home,Botkyrka Basket LTU,Sun 18.Feb 16:15,Thorildshallen,64,84
31570855,home,Central Basket Stars,Sun 17.Mar 13:45,Konradsbergshallen,78,69
31570860,away,Kungsholmen NY,Sun 24.Mar 16:15,Thorildshallen,58,53
31570867,away,Duvbo IK,Sun 7.Apr 18:00,Löthallen,63,50
